Unidade Orçamentária;;UG Executora;;PT;Ação Governo;;Plano Orçamentário;;PTRES;PI;;Fonte SOF;Fonte Recursos;Esfera Orçamentária;;Categoria Econômica Despesa;;Grupo Despesa;;Elemento Despesa;;Natureza Despesa;;Natureza Despesa Detalhada;;Tipo NE CCor;;Modalidade Licitação NE CCor;;Inciso NE CCor;Dia Emissão NE CCor;Mês Emissão NE CCor;Ano Emissão NE CCor;Nota Empenho CCor;Núm. Processo NE CCor;Doc - Observação;Favorecido NE CCor;;DESPESAS EMPENHADAS (CONTROLE EMPENHO);DESPESAS LIQUIDADAS (CONTROLE EMPENHO);DESPESAS INSCRITAS EM RPNP (CONTROLE EMPENHO);DESPESAS PAGAS (CONTROLE EMPENHO);RESTOS A PAGAR PROCESSADOS INSCRITOS;RESTOS A PAGAR PROCESSADOS PAGOS;RESTOS A PAGAR PROCESSADOS A PAGAR;RESTOS A PAGAR NAO PROCESSADOS INSCRITOS;RESTOS A PAGAR NAO PROCESSADOS REINSCRITOS;RESTOS A PAGAR NAO PROCESSADOS CANCELADOS;RESTOS A PAGAR NAO PROCESSADOS LIQUIDADOS;RESTOS A PAGAR NAO PROCESSADOS PAGOS;RESTOS A PAGAR NAO PROCESSADOS A PAGAR;LIQUIDACOES TOTAIS (EXERCICIO E RPNP);PAGAMENTOS TOTAIS (EXERCICIO E RAP)
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;@;PTRES ANTERIOR A 2013;000421;FUN APOIO;ELEIC - ADIC. DE APOIO ADMIN, TEC. E OPERAC.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;37;LOCACAO DE MAO-DE-OBRA;339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;5;GLOBAL;12;PREGAO;-8;21/12/2012;DEZ/2012;2012;070025000012012NE000649;24929/07; 09CT0016 - SERVICOS EXTRAORDINARIOS. JUSTIFICATIVA ELEITORAL 2012. CONTRATO   Nº 16/2009 - TERMO ADITIVO 04.                                                CANCELAMENTO DO SALDO REMANESCENTE DA NE 649/2012.;72620735000129;AGIL SERVICOS ESPECIAIS LTDA;;;;;;;;;;13.834,94;;;(13.834,94);;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;@;PTRES ANTERIOR A 2013;000421;FUN APOIO;ELEIC - ADIC. DE APOIO ADMIN, TEC. E OPERAC.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;37;LOCACAO DE MAO-DE-OBRA;339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;5;GLOBAL;12;PREGAO;-8;21/12/2012;DEZ/2012;2012;070025000012012NE000649;24929/07;NAO SE APLICA;72620735000129;AGIL SERVICOS ESPECIAIS LTDA;;;;;;;;;13.834,94;;;;13.834,94;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;@;PTRES ANTERIOR A 2013;000421;FUN TELEFO;ELEIC - ADICIONAL COM DESPESAS DE TELEFONIA;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.;339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903958;SERVICOS DE TELECOMUNICACOES;3;ESTIMATIVO;12;PREGAO;-8;17/08/2012;AGO/2012;2012;070025000012012NE000386;3050/11;11CT0008 - SERVICO TELEFONICO FIXO COMUTADO LOCAL, DE LONGA DISTANCIA NACIONALE INTERNACIONAL, CONTRATO N¤ 08/11 (TERMO ADITIVO Nº 1).                      CANCELAMENTO DA NE 386/2012 RESTOS A PAGAR;76535764000143;OI S.A. - EM RECUPERACAO JUDICIAL;;;;;;;;;;2.534,02;;;(2.534,02);;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;@;PTRES ANTERIOR A 2013;000421;FUN TELEFO;ELEIC - ADICIONAL COM DESPESAS DE TELEFONIA;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.;339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903958;SERVICOS DE TELECOMUNICACOES;3;ESTIMATIVO;12;PREGAO;-8;17/08/2012;AGO/2012;2012;070025000012012NE000386;3050/11;NAO SE APLICA;76535764000143;OI S.A. - EM RECUPERACAO JUDICIAL;;;;;;;;;2.534,02;;;;2.534,02;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;@;PTRES ANTERIOR A 2013;000421;FUN TELEFO;ELEIC - ADICIONAL COM DESPESAS DE TELEFONIA;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.;339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903958;SERVICOS DE TELECOMUNICACOES;5;GLOBAL;06;DISPENSA DE LICITACAO;02;08/08/2012;AGO/2012;2012;070025000012012NE000363;14614/12;12CT0022 - CONTRATACAO DE CONECTIVIDADE MOVEL A INTERNET - ELEICOES 2012 -JUS TIFICATIVAS.CANCELAMENTO DE SALDO REMANESCENTE DA NE 363/2012,RESTOS A PAGAR.;01685903000116;AMERICEL S/A;;;;;;;;;;3.597,00;;;(3.597,00);;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;@;PTRES ANTERIOR A 2013;000421;FUN TELEFO;ELEIC - ADICIONAL COM DESPESAS DE TELEFONIA;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.;339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903958;SERVICOS DE TELECOMUNICACOES;5;GLOBAL;06;DISPENSA DE LICITACAO;02;08/08/2012;AGO/2012;2012;070025000012012NE000363;14614/12;NAO SE APLICA;01685903000116;AMERICEL S/A;;;;;;;;;3.597,00;;;;3.597,00;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR HOREXT;ELEIC - SERVICO EXTRAORDINARIO DE CARTORIOS.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;16;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;319016;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;31901644;SERVICOS EXTRAORDINARIOS;5;GLOBAL;08;NAO SE APLICA;-8;14/10/2016;OUT/2016;2016;070025000012016NE000431;SERVICOS EXTRAORDINA;2016NECT - SERVICOS EXTRAORDINARIOS - JUSTIFICATIVA ELEITORAL 2016.           SERVIDORES DOS CARTORIOS ELEITORAIS.;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;20.000,00;;;;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR HOREXT;ELEIC - SERVICO EXTRAORDINARIO DE CARTORIOS.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;16;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;319016;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;31901644;SERVICOS EXTRAORDINARIOS;5;GLOBAL;08;NAO SE APLICA;-8;14/10/2016;OUT/2016;2016;070025000012016NE000431;SERVICOS EXTRAORDINA;2016NECT - SERVICOS EXTRAORDINARIOS - JUSTIFICATIVA ELEITORAL 2016.           SERVIDORES DOS CARTORIOS ELEITORAIS.                                          ANULACAO PARCIAL PARA OFERECIMENTO DE FONTE COMPENSATORIA AO TSE;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;(50.000,51);;;;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR HOREXT;ELEIC - SERVICO EXTRAORDINARIO DE CARTORIOS.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;16;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;319016;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;31901644;SERVICOS EXTRAORDINARIOS;5;GLOBAL;08;NAO SE APLICA;-8;14/10/2016;OUT/2016;2016;070025000012016NE000431;SERVICOS EXTRAORDINA;2016NECT - SERVICOS EXTRAORDINARIOS - JUSTIFICATIVA ELEITORAL 2016.           SERVIDORES DOS CARTORIOS ELEITORAIS.                                          REFORCO.;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;344.938,56;;;;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR HOREXT;ELEIC - SERVICO EXTRAORDINARIO DE CARTORIOS.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;16;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;319016;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;31901644;SERVICOS EXTRAORDINARIOS;5;GLOBAL;08;NAO SE APLICA;-8;14/10/2016;OUT/2016;2016;070025000012016NE000431;SERVICOS EXTRAORDINA;FOLHA DE PAGAMENTO SUPLEMENTAR Nº 05 DE NOVEMBRO/2016, REFERENTE AO PERIODO DE JUSTIFICATIVA ELEITORAL (OUTUBRO/2016) E ACERTOS (SETEMBRO/2016). SECRETARIA (R$ 489.511,93), CARTORIOS (R$ 297.542,40). ŽPA SEI 0008374-92.2016.6.07.8100;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;297.542,40;;;;;;;;;;;;297.542,40;
