Unidade Orçamentária;;UG Executora;;PT;Ação Governo;;Plano Orçamentário;;PTRES;PI;;Fonte SOF;Fonte Recursos;Esfera Orçamentária;;Categoria Econômica Despesa;;Grupo Despesa;;Elemento Despesa;;Natureza Despesa;;Natureza Despesa Detalhada;;Tipo NE CCor;;Modalidade Licitação NE CCor;;Inciso NE CCor;Dia Emissão NE CCor;Mês Emissão NE CCor;Ano Emissão NE CCor;Nota Empenho CCor;Núm. Processo NE CCor;Doc - Observação;Favorecido NE CCor;;DESPESAS EMPENHADAS (CONTROLE EMPENHO);DESPESAS LIQUIDADAS (CONTROLE EMPENHO);DESPESAS INSCRITAS EM RPNP (CONTROLE EMPENHO);DESPESAS PAGAS (CONTROLE EMPENHO);RESTOS A PAGAR PROCESSADOS REINSCRITOS;RESTOS A PAGAR PROCESSADOS A PAGAR;RESTOS A PAGAR NAO PROCESSADOS INSCRITOS;RESTOS A PAGAR NAO PROCESSADOS REINSCRITOS;RESTOS A PAGAR NAO PROCESSADOS CANCELADOS;RESTOS A PAGAR NAO PROCESSADOS LIQUIDADOS;RESTOS A PAGAR NAO PROCESSADOS PAGOS;RESTOS A PAGAR NAO PROCESSADOS A PAGAR;LIQUIDACOES TOTAIS (EXERCICIO E RPNP);PAGAMENTOS TOTAIS (EXERCICIO E RAP)
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR GRAPAX;GRAT. ELEIT. PROCUR. AUX.- PLEITOS;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000696;AUT. ELEITORAIS;2017NECT - PAGAMENTO DE GRATIFICACAO ELEITORAL A PROMOTORES AUXILIARES. PLEITO2006. EXERCICIOS ANTERIORES.;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;32.512,80;;;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR GRAPAX;GRAT. ELEIT. PROCUR. AUX.- PLEITOS;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000696;AUT. ELEITORAIS;2017NECT - PAGAMENTO DE GRATIFICACAO ELEITORAL A PROMOTORES AUXILIARES. PLEITO2006. EXERCICIOS ANTERIORES. ANULACAO PARCIAL.;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;(141,36);;;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR GRAPAX;GRAT. ELEIT. PROCUR. AUX.- PLEITOS;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000696;AUT. ELEITORAIS;FOLHA DE PAGAMENTO SUPLEMENTAR Nº 06 DE DEZEMBRO/2017, REFERENTE A DIFERENCA NA GRATIFICACAO DOS PROMOTORES AUXILIARES DAS ELEICOES DE 2006. P.A. 0006188-62.2017.6.07.8100.;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;32.371,44;;;;;;;;;;;32.371,44;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR GRAPAX;GRAT. ELEIT. PROCUR. AUX.- PLEITOS;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000696;AUT. ELEITORAIS;FOLHA DE PAGAMENTO SUPLEMENTAR Nº 06 DE DEZEMBRO/2017, REFERENTE A DIFERENCA NA GRATIFICACAO DOS PROMOTORES AUXILIARES DAS ELEICOES DE 2006. P.A. 0006188-62.2017.6.07.8100. DADOS BANCARIOS BB;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;0,00;;28.554,72;;;;;;;;;0,00;28.554,72
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR GRAPAX;GRAT. ELEIT. PROCUR. AUX.- PLEITOS;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000696;AUT. ELEITORAIS;FOLHA DE PAGAMENTO SUPLEMENTAR Nº 06 DE DEZEMBRO/2017, REFERENTE A DIFERENCA NA GRATIFICACAO DOS PROMOTORES AUXILIARES DAS ELEICOES DE 2006. P.A. 0006188-62.2017.6.07.8100. DADOS BANCARIOS OUTROS BANCOS;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;0,00;;3.816,72;;;;;;;;;0,00;3.816,72
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR GRAPAX;GRAT. ELEIT. PROCUR. AUX.- PLEITOS;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000696;AUT. ELEITORAIS;FOLHA DE PAGAMENTO SUPLEMENTAR Nº 06 DE DEZEMBRO/2017, REFERENTE A DIFERENCA NA GRATIFICACAO DOS PROMOTORES AUXILIARES DAS ELEICOES DE 2006. P.A. 0006188-62.2017.6.07.8100.DEVOLUCAO DE VALORES EM RAZAO DE ORDEM BANCARIA CANCELADA.;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;(424,08);;(424,08);;;;;;;;;(424,08);(424,08)
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR GRAPAX;GRAT. ELEIT. PROCUR. AUX.- PLEITOS;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000696;AUT. ELEITORAIS;INSCRICAO DE EMPENHOS EM RESTOS A PAGAR NAO PROCESSADOS A LIQUIDAR E EM LIQUI-DACAO CONFORME INDICACAO DO ORDENADOR DE DESPESA, COM BASE NOS SALDOS DAS CON-TAS 89991.33.01 E 89991.33.03.;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;;424,08;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR HOREXT;ELEIC - SERVICO EXTRAORDINARIO DE CARTORIOS.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000699;SERV.EXTRAORDINARIOS;2017NECT - SERVICOS EXTRAORDINARIOS. PLEITO 2014. EXERCICIOS ANTERIORES.;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;67.705,44;;;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR HOREXT;ELEIC - SERVICO EXTRAORDINARIO DE CARTORIOS.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000699;SERV.EXTRAORDINARIOS;INFORMAMOS A VOSSA SENHORIA QUE ELABORAMOS A FOLHA DE PAGAMENTO SUPLEMENTAR Nº 07 DE DEZEMBRO/2017, REFERENTE A ACERTOS FINANCEIROS DO PERIODO ELEITORAL/2014. P.A. 0006345-35.2017.6.07.8100;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;67.705,44;;;;;;;;;;;67.705,44;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR HOREXT;ELEIC - SERVICO EXTRAORDINARIO DE CARTORIOS.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000699;SERV.EXTRAORDINARIOS;INFORMAMOS A VOSSA SENHORIA QUE ELABORAMOS A FOLHA DE PAGAMENTO SUPLEMENTAR Nº 07 DE DEZEMBRO/2017, REFERENTE A ACERTOS FINANCEIROS DO PERIODO ELEITORAL/2014. P.A. 0006345-35.2017.6.07.8100. DADOS BANCARIOS BB;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;0,00;;34.957,45;;;;;;;;;0,00;34.957,45
