Unidade Orçamentária;;UG Executora;;PT;Ação Governo;;Plano Orçamentário;;PTRES;PI;;Fonte SOF;Fonte Recursos;Esfera Orçamentária;;Categoria Econômica Despesa;;Grupo Despesa;;Elemento Despesa;;Natureza Despesa;;Natureza Despesa Detalhada;;Tipo NE CCor;;Modalidade Licitação NE CCor;;Inciso NE CCor;Dia Emissão NE CCor;Mês Emissão NE CCor;Ano Emissão NE CCor;Nota Empenho CCor;Núm. Processo NE CCor;Doc - Observação;Favorecido NE CCor;;DESPESAS EMPENHADAS (CONTROLE EMPENHO);DESPESAS LIQUIDADAS (CONTROLE EMPENHO);DESPESAS PAGAS (CONTROLE EMPENHO);RESTOS A PAGAR PROCESSADOS REINSCRITOS;RESTOS A PAGAR PROCESSADOS A PAGAR;RESTOS A PAGAR NAO PROCESSADOS INSCRITOS;RESTOS A PAGAR NAO PROCESSADOS REINSCRITOS;RESTOS A PAGAR NAO PROCESSADOS CANCELADOS;RESTOS A PAGAR NAO PROCESSADOS LIQUIDADOS;RESTOS A PAGAR NAO PROCESSADOS PAGOS;RESTOS A PAGAR NAO PROCESSADOS A PAGAR;LIQUIDACOES TOTAIS (EXERCICIO E RPNP);PAGAMENTOS TOTAIS (EXERCICIO E RAP)
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR GRAPAX;GRAT. ELEIT. PROCUR. AUX.- PLEITOS;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000696;AUT. ELEITORAIS;FOLHA DE PAGAMENTO SUPLEMENTAR Nº 06 DE DEZEMBRO/2017, REFERENTE A DIFERENCA NA GRATIFICACAO DOS PROMOTORES AUXILIARES DAS ELEICOES DE 2006. PA 0006188-62.2017.6.07.8100. RESTABELECIMENTO DE PAGTO P/ BERENICE MARIA SHERER E MARIA DALVA BORGES DE HOLANDA.;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;;;;;;;;;282,72;282,72;(282,72);282,72;282,72
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR GRAPAX;GRAT. ELEIT. PROCUR. AUX.- PLEITOS;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000696;AUT. ELEITORAIS;NAO SE APLICA;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;;;;;;424,08;;;;;424,08;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;FUN HOREXT;ELEIC - SERVICO EXTRAORDINARIO SERVIDORES;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;16;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;319016;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;31901644;SERVICOS EXTRAORDINARIOS;5;GLOBAL;08;NAO SE APLICA;-8;14/10/2016;OUT/2016;2016;070025000012016NE000430;SERVICOS EXTRAORDINA;NAO SE APLICA;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;;;;;;;1.823,93;;;;1.823,93;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;FUN HOREXT;ELEIC - SERVICO EXTRAORDINARIO SERVIDORES;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;28/12/2017;DEZ/2017;2017;070025000012017NE000745;SERV.EXTRAORDINARIOS;NAO SE APLICA;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;;;;;;9.133,44;;;;;9.133,44;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107671;FUN ALIMEN1;ELEICOES - ALIMEN DE SERVIDORES PRIMEIRO TURN;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;30;MATERIAL DE CONSUMO;339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;1;ORDINARIO;12;PREGAO;-8;07/02/2018;FEV/2018;2018;070025000012018NE000096;00041862220176078100;2018NECT - FORNECIMENTO DE MATERIAIS DE CONSUMO (GENEROS ALIMENTICIOS) AO TRE-DF. PREGAO ELETRONICO Nº 29/2017, GRUPO 3. PLEITOS ELEITORAIS.;11615948000178;VELA NO VENTO LANCHES LTDA - ME;1.433,75;;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107671;FUN ALIMEN1;ELEICOES - ALIMEN DE SERVIDORES PRIMEIRO TURN;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;30;MATERIAL DE CONSUMO;339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;1;ORDINARIO;12;PREGAO;-8;07/02/2018;FEV/2018;2018;070025000012018NE000096;00041862220176078100;2018NECT - FORNECIMENTO DE MATERIAIS DE CONSUMO (GENEROS ALIMENTICIOS) AO TRE-DF. PREGAO ELETRONICO Nº 29/2017, GRUPO 3. PLEITOS ELEITORAIS.                ANULACAO PARA CORRECAO DO TIPO DE EMPENHO.;11615948000178;VELA NO VENTO LANCHES LTDA - ME;(1.433,75);;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107671;FUN ALIMEN1;ELEICOES - ALIMEN DE SERVIDORES PRIMEIRO TURN;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;30;MATERIAL DE CONSUMO;339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;3;ESTIMATIVO;12;PREGAO;-8;07/02/2018;FEV/2018;2018;070025000012018NE000102;00041862220176078100;2018NECT - FORNECIMENTO DE MATERIAIS DE CONSUMO (GENEROS ALIMENTICIOS) AO TRE-DF. PREGAO ELETRONICO Nº 29/2017, GRUPO 3. PLEITOS ELEITORAIS.;11615948000178;VELA NO VENTO LANCHES LTDA - ME;1.433,75;;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107671;FUN ALIMEN1;ELEICOES - ALIMEN DE SERVIDORES PRIMEIRO TURN;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;30;MATERIAL DE CONSUMO;339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;3;ESTIMATIVO;12;PREGAO;-8;07/02/2018;FEV/2018;2018;070025000012018NE000104;00041862220176078100;2018NECT - FORNECIMENTO DE MATERIAIS DE CONSUMO (GENEROS ALIMENTICIOS) AO TRE-DF. PREGAO ELETRONICO Nº 29/2017, GRUPOS 1, 2, 4, 5, 6 E 7. PLEITOS ELEITORAIS;11020389000153;MAM RIBEIRO COMERCIO DE ALIMENTOS - ME;11.683,55;;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107671;FUN APOIO;ELEIC - ADIC. DE APOIO ADMIN, TEC. E OPERAC.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;37;LOCACAO DE MAO-DE-OBRA;339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;5;GLOBAL;12;PREGAO;-8;25/08/2016;AGO/2016;2016;070025000012016NE000318;00003256220166078100;NAO SE APLICA;00308141000923;CONNECTCOM TELEINFORMATICA COMERCIO E SERVICOS LTDA;;;;;;;976,63;;;;976,63;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107671;FUN APOIO;ELEIC - ADIC. DE APOIO ADMIN, TEC. E OPERAC.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;37;LOCACAO DE MAO-DE-OBRA;339037;LOCACAO DE MAO-DE-OBRA;33903705;SERVICOS DE COPA E COZINHA;5;GLOBAL;12;PREGAO;-8;25/08/2016;AGO/2016;2016;070025000012016NE000319;00003256220166078100;NAO SE APLICA;00308141000923;CONNECTCOM TELEINFORMATICA COMERCIO E SERVICOS LTDA;;;;;;;445,77;;;;445,77;;
