Unidade Orçamentária;;UG Executora;;PT;Ação Governo;;Plano Orçamentário;;PTRES;Fonte SOF;Fonte Recursos;Grupo Despesa;;DOTACAO INICIAL;DOTACAO ATUALIZADA;PROVISAO RECEBIDA;PROVISAO CONCEDIDA;DESTAQUE RECEBIDO;DESTAQUE CONCEDIDO;CREDITO DISPONIVEL;CREDITO INDISPONIVEL;DESPESAS PRE-EMPENHADAS A EMPENHAR;DESPESAS EMPENHADAS (CONTROLE EMPENHO);DESPESAS LIQUIDADAS (CONTROLE EMPENHO);DESPESAS INSCRITAS EM RPNP (CONTROLE EMPENHO);DESPESAS PAGAS (CONTROLE EMPENHO)
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;0100;RECURSOS ORDINARIOS;1;PESSOAL E ENCARGOS SOCIAIS;;;851.402,00;;;;0,00;;;851.402,00;849.578,07;1.823,93;849.578,07
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107671;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;;;845.750,31;;;2.615,00;0,00;0,00;0,00;843.135,31;684.240,68;158.894,63;684.240,68
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0002;ATUALIZACAO E MANUTENCAO DO SISTEMA DE VOTACAO E APURACAO;084799;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;;;72.282,31;;;;0,00;0,00;0,00;72.282,31;72.282,31;;72.282,31
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057009HB0053;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O;0000;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS;084773;0100;RECURSOS ORDINARIOS;1;PESSOAL E ENCARGOS SOCIAIS;6.890.000,00;6.890.000,00;;;;;0,00;;;6.890.000,00;6.890.000,00;;6.890.000,00
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057009HB0053;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O;0000;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS;084773;0188;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;1;PESSOAL E ENCARGOS SOCIAIS;0,00;165.377,00;;;;;0,00;0,00;;165.377,00;137.651,38;27.725,62;137.651,38
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057020GP0053;20GP;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI;0001;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA;084782;0100;RECURSOS ORDINARIOS;4;INVESTIMENTOS;372.349,00;6.362.309,00;;;;;640,36;0,00;0,00;6.361.668,64;6.361.668,64;;6.361.668,64
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057020GP0053;20GP;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI;0001;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA;084782;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;12.179.474,00;12.659.596,00;;;;;214,73;0,00;0,00;12.659.381,27;12.458.585,25;200.796,02;12.458.585,25
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057020GP0053;20GP;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI;0001;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA;084782;0127;CUSTAS E EMOLUMENTOS - PODER JUDICIARIO;4;INVESTIMENTOS;0,00;964.040,00;;;;;0,00;0,00;0,00;964.040,00;964.040,00;;964.040,00
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057020GP0053;20GP;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI;0001;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA;084782;0127;CUSTAS E EMOLUMENTOS - PODER JUDICIARIO;3;OUTRAS DESPESAS CORRENTES;1.655.568,00;1.146.446,00;;;;;0,00;0,00;;1.146.446,00;1.127.338,91;19.107,09;1.127.338,91
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057020GP0053;20GP;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI;0002;CAPACITACAO DE RECURSOS HUMANOS;084783;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;279.614,00;246.474,00;;;;20.467,20;0,50;0,00;0,00;226.006,30;225.606,30;400,00;225.606,30
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057020TP0053;20TP;ATIVOS CIVIS DA UNIAO;0000;ATIVOS CIVIS DA UNIAO;084774;0100;RECURSOS ORDINARIOS;1;PESSOAL E ENCARGOS SOCIAIS;42.420.923,00;48.998.287,00;;;;;758,38;;;48.997.528,62;48.479.209,24;518.319,38;48.479.209,24
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;021220570216H0053;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;0000;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS;110726;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;21.600,00;0,00;;;;;0,00;0,00;;;;;
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02301057020040053;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0001;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;084780;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;2.654.820,00;3.686.036,00;809,61;12.000,00;;;0,00;;;3.674.845,61;3.674.036,00;809,61;3.674.036,00
