Unidade Orçamentária;;UG Executora;;PT;Ação Governo;;Plano Orçamentário;;PTRES;Fonte SOF;Fonte Recursos;Grupo Despesa;;DOTACAO INICIAL;DOTACAO ATUALIZADA;PROVISAO RECEBIDA;PROVISAO CONCEDIDA;CREDITO DISPONIVEL;CREDITO INDISPONIVEL;DESPESAS PRE-EMPENHADAS A EMPENHAR;DESPESAS EMPENHADAS (CONTROLE EMPENHO);DESPESAS LIQUIDADAS (CONTROLE EMPENHO);DESPESAS PAGAS (CONTROLE EMPENHO)
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;0100;RECURSOS ORDINARIOS;1;PESSOAL E ENCARGOS SOCIAIS;;;1.720.922,00;;1.720.922,00;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107671;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;;;10.004.728,00;;9.390.549,15;0,00;0,00;614.178,85;54.708,40;54.708,40
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0002;ATUALIZACAO E MANUTENCAO DO SISTEMA DE VOTACAO E APURACAO;084799;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;;;157.000,00;;45.461,65;;;111.538,35;26.269,65;26.269,65
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057020GP0053;20GP;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI;0001;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA;084782;0100;RECURSOS ORDINARIOS;4;INVESTIMENTOS;2.508.883,00;2.508.883,00;;;1.850.342,44;503.000,00;503.000,00;155.540,56;94.796,57;94.796,57
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057020GP0053;20GP;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI;0001;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA;084782;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;13.026.704,00;13.026.704,00;;;613.212,32;567.638,55;567.638,55;11.845.853,13;2.945.245,63;2.934.348,43
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057020GP0053;20GP;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI;0001;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA;084782;0127;CUSTAS E EMOLUMENTOS - PODER JUDICIARIO;3;OUTRAS DESPESAS CORRENTES;1.913.844,00;1.913.844,00;;;951.346,53;537.460,00;9.948,00;425.037,47;323.774,21;323.774,21
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057020GP0053;20GP;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI;0002;CAPACITACAO DE RECURSOS HUMANOS;084783;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;303.329,00;303.329,00;;;204.545,88;0,00;0,00;98.783,12;61.153,63;61.153,63
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02122057020TP0053;20TP;ATIVOS CIVIS DA UNIAO;0000;ATIVOS CIVIS DA UNIAO;084774;0100;RECURSOS ORDINARIOS;1;PESSOAL E ENCARGOS SOCIAIS;46.433.796,00;46.433.796,00;;;0,00;;;46.433.796,00;16.737.348,52;16.737.348,52
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02301057020040053;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0001;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;084780;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;2.270.400,00;2.270.400,00;;6.000,00;0,00;;;2.264.400,00;1.816.317,08;1.796.604,64
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;023310570212B0053;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0001;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS;137546;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;503.280,00;503.280,00;;;0,00;;;503.280,00;155.694,05;155.694,05
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;023310570212B0053;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0003;AUXILIO-TRANSPORTE DE CIVIS;137547;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;15.984,00;21.984,00;;;0,00;;;21.984,00;6.822,46;6.822,46
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;023310570212B0053;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0005;AUXILIO-ALIMENTACAO DE CIVIS;137548;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;4.306.848,00;4.306.848,00;;;0,00;;;4.306.848,00;1.485.757,02;1.485.757,02
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;023310570212B0053;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;0009;AUXILIO-FUNERAL E NATALIDADE DE CIVIS;137549;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;112.788,00;112.788,00;;;0,00;;;112.788,00;1.318,50;1.318,50
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02846057009HB0053;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O;0000;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS;127713;0100;RECURSOS ORDINARIOS;1;PESSOAL E ENCARGOS SOCIAIS;8.719.950,00;7.540.000,00;;;0,00;0,00;;7.540.000,00;2.448.380,04;2.448.380,04
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02846057009HB0053;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O;0000;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS;127713;0900;RECURSOS ORDINARIOS;1;PESSOAL E ENCARGOS SOCIAIS;;1.179.950,00;;;0,00;1.179.950,00;;;;
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;09272008901810053;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0000;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;084775;0156;CONTRIBUICAO PLANO SEGURIDADE SOCIAL SERVIDOR;1;PESSOAL E ENCARGOS SOCIAIS;7.557.609,00;9.956.806,00;;;2.399.197,00;;;7.557.609,00;2.418.352,05;2.418.352,05
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;09272008901810053;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0000;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;084775;0169;CONTRIB.PATRONAL P/PLANO DE SEGURID.SOC.SERV.;1;PESSOAL E ENCARGOS SOCIAIS;9.543.194,00;9.543.194,00;;;0,00;;;9.543.194,00;4.752.760,55;4.752.760,55
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;09272008901810053;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0000;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;084775;0956;CONTRIBUICAO PLANO SEGURIDADE SOCIAL SERVIDOR;1;PESSOAL E ENCARGOS SOCIAIS;1.219.247,00;0,00;;;0,00;0,00;;;;
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;09272008901810053;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0000;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;084775;0969;CONTRIB.PATRONAL P/PLANO DE SEGURID.SOC.SERV.;1;PESSOAL E ENCARGOS SOCIAIS;1.179.950,00;0,00;;;0,00;0,00;;;;
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070027;TRIBUNAL REGIONAL ELEITORAL DE TOCANTINS;02301057020040053;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0001;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;084780;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;;;6.000,00;;32,00;0,00;0,00;5.968,00;;
14126;TRIBUNAL REGIONAL ELEITORAL DE TOCANTINS;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02301057020040017;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0001;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;084809;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;;;150.000,00;;0,00;;;150.000,00;60.744,95;60.744,95
Total;;;;;;;;;;;;;;99.615.806,00;99.621.806,00;12.038.650,00;6.000,00;17.175.608,97;2.788.048,55;1.080.586,55;91.690.798,48;33.389.443,31;33.358.833,67
