Açao Orçamentária;Categoria de Programação;Unidade Administrativa;Despesa Agregada;Plano Interno;GND;Elemento;Subelemento;Item de Despesa;Proposta UA-1;Proposta Final
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;SERVIÇOS DE DIVULGAÇÃO;DIV SERVIC;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.59 - SERVIÇOS DE AUDIO, VÍDEO E FOTO;SERVIÇOS DE FILMAGEM, PRODUÇÃO E EDIÇÃO DE VÍDEOS;12.000,00;6.000,00
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;SERVIÇOS DE IMPRESSÃO GRÁFICA;MAT SERIMP;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.63 - SERVIÇOS GRÁFICOS;SERVICOS UTILIZADOS NA CONFECCAO DE IMPRESSOS EM GERAL;63.600,00;33.600,00
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;SERVIÇOS DE IMPRESSÃO GRÁFICA;MAT SERIMP;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.63 - SERVIÇOS GRÁFICOS;SERVICOS UTILIZADOS NA IMPRESSAO DE JORNAIS, BOLETINS, ENCARTES, FOLDERS E ASSEMELHADOS;300,00;300,00
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;COMP - COORDENADORIA DE MATERIAL E PATRIMONIO;ADICIONAL DE MATERIAL DE CONSUMO;FUN MATCON;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.16 - MATERIAL DE EXPEDIENTE;MATERIAL DE EXPEDIENTE;646.182,56;296.182,56
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;COMP - COORDENADORIA DE MATERIAL E PATRIMONIO;MATERIAL PARA DIVULGAÇÃO;DIV MATER;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.23 - UNIFORMES, TECIDOS E AVIAMENTOS;CAMISETAS;7.837,50;7.837,50
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;TRANSPORTE DE URNAS ELETRÔNICAS;UEL TRANSP;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.74 - FRETES E TRANSPORTE DE ENCOMENDAS;FRETES E TRANSPORTES DE ENCOMENDAS;717.143,71;717.143,71
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;ADICIONAL DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;FUN APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;CONTÍNUOS, RECEPCIONISTAS, SUPERVISORES, MOTORISTAS;108.000,00;108.000,00
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;ADICIONAL DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;FUN APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;TELEFONISTA;274.476,00;274.476,00
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;ADICIONAL DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;FUN APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.02 - LIMPEZA E CONSERVAÇÃO;AUXILIAR DE SERVIÇOS GERAIS;349.200,00;349.200,00
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;ADICIONAL DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;FUN APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.04 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;ELETRICISTA;187.200,00;187.200,00
