Açao Orçamentária;Categoria de Programação;Unidade Administrativa;Despesa Agregada;Plano Interno;GND;Elemento;Subelemento;Item de Despesa;Proposta UA-1;Proposta Final
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;APARELHAR A SEÇÃO DE COMUNICAÇÃO SOCIAL DE UNIDADE DE EDITORAÇÃO;EDF APARCS;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.12 - APARELHOS E UTENSÍLIOS DOMÉSTICOS;TELEVISOR;27.000,00;17.200,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;APARELHAR A SEÇÃO DE COMUNICAÇÃO SOCIAL DE UNIDADE DE EDITORAÇÃO;EDF APARCS;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.33 - EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO;EQUIPAMENTOS ELETRÔNICOS DIVERSOS;1.000,00;500,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;APARELHAR A SEÇÃO DE COMUNICAÇÃO SOCIAL DE UNIDADE DE EDITORAÇÃO;EDF APARCS;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.33 - EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO;GRAVADOR DIGITAL MP3;300,00;300,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;APARELHAR A SEÇÃO DE COMUNICAÇÃO SOCIAL DE UNIDADE DE EDITORAÇÃO;EDF APARCS;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.33 - EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO;MÁQUINA FOTOGRÁFICA;1.700,00;1.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;APARELHAR A SEÇÃO DE COMUNICAÇÃO SOCIAL DE UNIDADE DE EDITORAÇÃO;EDF APARCS;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.33 - EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO;MICROFONE;8.770,00;3.770,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;APARELHAR A SEÇÃO DE COMUNICAÇÃO SOCIAL DE UNIDADE DE EDITORAÇÃO;EDF APARCS;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.42 - MOBILIÁRIO EM GERAL;MESA;4.000,00;2.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;APARELHAR A SEÇÃO DE COMUNICAÇÃO SOCIAL DE UNIDADE DE EDITORAÇÃO;EDF APARCS;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.42 - MOBILIÁRIO EM GERAL;MÓVEIS EM GERAL;3.000,00;1.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SGP - SECRETARIA DE GESTAO DE PESSOAS;DISTRIBUIÇÃO IDEAL DE FORÇA DE TRABALHO NO TREDF;EDF FORTRAB;33 - OUTRAS DESPESAS CORRENTES;33.90.35 - SERVIÇOS DE CONSULTORIA;3390.35.01 - ASSESSORIA E CONSULTORIA TÉCNICA OU JURÍDICA;ASSESSORIA E CONSULTORIA TÉCNICA OU JURÍDICA;500.000,00;0,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AOSA APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.35 - SERVIÇOS DE CONSULTORIA;3390.35.02 - AUDITORIA EXTERNA;SERVIÇOS DE AUDITORIA EXTERNA;264.000,00;0,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AOSA APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;ATENDENTES PARA CONSULTÓRIO ODONTOLÓGICO;97.560,00;69.000,00
