Açao Orçamentária;Categoria de Programação;Unidade Administrativa;Despesa Agregada;Plano Interno;GND;Elemento;Subelemento;Item de Despesa;Proposta UA-1;Proposta Final;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;ASPLAN - ASSESSORIA DE PLANEJAMENTO;CONSTRUÇÃO SUSTENTÁVEL: CAPTAÇÃO DE ÁGUAS PLUVIAIS PARA O EDIFÍCIO SEDE E ANEXO DO TRE-DF.;EDF CONSSUS;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVIÇOS DE MANUTENÇÃO DAS INSTALAÇÕES DE IMÓVEL;100.000,00;0,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;ASPLAN - ASSESSORIA DE PLANEJAMENTO;SUBSTITUIÇÃO DOS GUICHES DE ATENDIMENTO DOS CARTÓRIOS E POSTOS ELEITORAIS.;EDF SUBSGUI;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.42 - MOBILIÁRIO EM GERAL;MÓVEIS EM GERAL;309.921,39;309.921,39;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;INSTALAÇÃO DE SISTEMA DE SEGURANÇA ELETRONICO - CFTV;EDF SISELET;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.24 - EQUIPAMENTO DE PROTEÇÃO DE SEG. E SOCORRO;CIRCUITO INTERNO DE TELEVISÃO;450.000,00;0,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SESEG - SEÇAO DE SEGURANÇA;INSTALAÇÃO DE SISTEMA DE SEGURANÇA ELETRONICO - CFTV;EDF SISELET;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.05 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVIÇOS TÉCNICOS PROFISSIONAIS;0,00;101.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SESEG - SEÇAO DE SEGURANÇA;INSTALAÇÃO DE SISTEMA DE SEGURANÇA ELETRONICO - CFTV;EDF SISELET;44 - INVESTIMENTOS;44.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;4490.39.93 - AQUISIÇÃO DE SOFTWARE;AQUISIÇÃO DE SOFTWARE;0,00;127.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SESEG - SEÇAO DE SEGURANÇA;INSTALAÇÃO DE SISTEMA DE SEGURANÇA ELETRONICO - CFTV;EDF SISELET;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.24 - EQUIPAMENTO DE PROTEÇÃO DE SEG. E SOCORRO;CIRCUITO INTERNO DE TELEVISÃO;0,00;222.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SGP - SECRETARIA DE GESTAO DE PESSOAS;DISTRIBUIÇÃO IDEAL DE FORÇA DE TRABALHO NO TREDF;EDF FORTRAB;33 - OUTRAS DESPESAS CORRENTES;33.90.35 - SERVIÇOS DE CONSULTORIA;3390.35.01 - ASSESSORIA E CONSULTORIA TÉCNICA OU JURÍDICA;ASSESSORIA E CONSULTORIA TÉCNICA OU JURÍDICA;500.000,00;0,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AOSA APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.35 - SERVIÇOS DE CONSULTORIA;3390.35.02 - AUDITORIA EXTERNA;SERVIÇOS DE AUDITORIA EXTERNA;336.000,00;0,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AOSA APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;ATENDENTES PARA CONSULTÓRIO ODONTOLÓGICO;104.174,57;67.379,30;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AOSA APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.05 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVIÇOS DE GINÁSTICA LABORAL;144.000,00;0,00;;
